Time,Curr_temp,Set_temp
0,29.35,30.0
1,26.05,30.0
2,26.04,30.0
3,26.06,30.0
4,26.07,30.0
5,26.08,30.0
6,26.12,30.0
7,26.17,30.0
8,26.22,30.0
9,26.27,30.0
10,26.33,30.0
11,26.4,30.0
12,26.48,30.0
13,26.55,30.0
14,26.63,30.0
15,26.72,30.0
16,26.8,30.0
17,26.89,30.0
18,26.98,30.0
19,27.06,30.0
20,27.17,30.0
21,27.27,30.0
22,27.36,30.0
23,27.46,30.0
24,27.56,30.0
25,27.66,30.0
26,27.77,30.0
27,27.89,30.0
28,27.99,30.0
29,28.11,30.0
30,28.23,30.0
31,28.34,30.0
32,28.46,30.0
33,28.56,30.0
34,28.69,30.0
35,28.8,30.0
36,28.92,30.0
37,29.04,30.0
38,29.15,30.0
39,29.26,30.0
40,29.39,30.0
41,29.5,30.0
42,29.63,30.0
43,29.75,30.0
44,29.87,30.0
45,30.01,30.0
46,30.12,30.0
47,30.25,30.0
48,30.38,30.0
49,30.49,30.0
50,30.63,30.0
51,30.74,30.0
52,30.88,30.0
53,31.0,30.0
54,31.13,30.0
55,31.25,30.0
56,31.38,30.0
57,31.5,30.0
58,31.63,30.0
59,31.74,30.0
60,31.87,30.0
61,32.0,30.0
62,32.13,30.0
63,32.25,30.0
64,32.37,30.0
65,32.52,30.0
66,32.65,30.0
67,32.76,30.0
68,32.89,30.0
69,33.01,30.0
70,33.13,30.0
71,33.26,30.0
72,33.39,30.0
73,33.51,30.0
74,33.64,30.0
75,33.77,30.0
76,33.9,30.0
77,34.01,30.0
78,34.14,30.0
79,34.26,30.0
80,34.38,30.0
81,34.51,30.0
82,34.63,30.0
83,34.75,30.0
84,34.88,30.0
85,34.99,30.0
86,35.12,30.0
87,35.24,30.0
88,35.36,30.0
89,35.49,30.0
90,35.6,30.0
91,35.72,30.0
92,35.85,30.0
93,35.96,30.0
94,36.09,30.0
95,36.19,30.0
96,36.33,30.0
97,36.44,30.0
98,36.55,30.0
99,36.67,30.0
100,36.79,30.0
101,36.91,30.0
102,37.02,30.0
103,37.13,30.0
104,37.25,30.0
105,37.37,30.0
106,37.49,30.0
107,37.6,30.0
108,37.71,30.0
109,37.83,30.0
110,37.94,30.0
111,38.06,30.0
112,38.17,30.0
113,38.28,30.0
114,38.39,30.0
115,38.5,30.0
116,38.61,30.0
117,38.72,30.0
118,38.83,30.0
119,38.94,30.0
120,39.06,30.0
121,39.17,30.0
122,39.26,30.0
123,39.38,30.0
124,39.49,30.0
125,39.58,30.0
126,39.69,30.0
127,39.79,30.0
128,39.9,30.0
129,40.01,30.0
130,40.11,30.0
131,40.21,30.0
132,40.32,30.0
133,40.42,30.0
134,40.52,30.0
135,40.62,30.0
136,40.72,30.0
137,40.82,30.0
138,40.9,30.0
139,41.0,30.0
140,41.1,30.0
141,41.19,30.0
142,41.29,30.0
143,41.39,30.0
144,41.48,30.0
145,41.58,30.0
146,41.68,30.0
147,41.79,30.0
148,41.88,30.0
149,41.96,30.0
150,42.07,30.0
151,42.14,30.0
152,42.24,30.0
153,42.33,30.0
154,42.43,30.0
155,42.5,30.0
156,42.6,30.0
157,42.7,30.0
158,42.79,30.0
159,42.87,30.0
160,42.97,30.0
161,43.07,30.0
162,43.15,30.0
163,43.24,30.0
164,43.33,30.0
165,43.41,30.0
166,43.51,30.0
167,43.59,30.0
168,43.67,30.0
169,43.75,30.0
170,43.84,30.0
171,43.93,30.0
172,44.0,30.0
173,44.07,30.0
174,44.13,30.0
175,44.22,30.0
176,44.3,30.0
177,44.39,30.0
178,44.48,30.0
179,44.54,30.0
180,44.64,30.0
181,44.73,30.0
182,44.82,30.0
183,44.9,30.0
184,44.98,30.0
185,45.06,30.0
186,45.15,30.0
187,45.23,30.0
188,45.33,30.0
189,45.41,30.0
190,45.48,30.0
191,45.55,30.0
192,45.64,30.0
193,45.73,30.0
194,45.81,30.0
195,45.88,30.0
196,45.96,30.0
197,46.03,30.0
198,46.12,30.0
199,46.19,30.0
200,46.26,30.0
201,46.35,30.0
202,46.42,30.0
203,46.49,30.0
204,46.57,30.0
205,46.65,30.0
206,46.72,30.0
207,46.81,30.0
208,46.87,30.0
209,46.95,30.0
210,47.04,30.0
211,47.11,30.0
212,47.19,30.0
213,47.27,30.0
214,47.34,30.0
215,47.4,30.0
216,47.48,30.0
217,47.54,30.0
218,47.6,30.0
219,47.69,30.0
220,47.75,30.0
221,47.82,30.0
222,47.89,30.0
223,47.97,30.0
224,48.02,30.0
225,48.09,30.0
226,48.16,30.0
227,48.23,30.0
228,48.31,30.0
229,48.37,30.0
230,48.44,30.0
231,48.49,30.0
232,48.57,30.0
233,48.63,30.0
234,48.69,30.0
235,48.75,30.0
236,48.84,30.0
237,48.89,30.0
238,48.96,30.0
239,49.02,30.0
240,49.08,30.0
241,49.14,30.0
242,49.23,30.0
243,49.28,30.0
244,49.34,30.0
245,49.4,30.0
246,49.46,30.0
247,49.52,30.0
248,49.58,30.0
249,49.64,30.0
250,49.71,30.0
251,49.76,30.0
252,49.82,30.0
253,49.88,30.0
254,49.94,30.0
255,50.0,30.0
256,50.06,30.0
257,50.11,30.0
258,50.18,30.0
259,50.23,30.0
260,50.29,30.0
261,50.35,30.0
262,50.4,30.0
263,50.46,30.0
264,50.51,30.0
265,50.57,30.0
266,50.63,30.0
267,50.68,30.0
268,50.74,30.0
269,50.79,30.0
270,50.84,30.0
271,50.91,30.0
272,50.97,30.0
273,51.01,30.0
274,51.07,30.0
275,51.13,30.0
276,51.18,30.0
277,51.23,30.0
278,51.29,30.0
279,51.34,30.0
280,51.39,30.0
281,51.44,30.0
282,51.49,30.0
283,51.54,30.0
284,51.6,30.0
285,51.64,30.0
286,51.69,30.0
287,51.74,30.0
288,51.79,30.0
289,51.83,30.0
290,51.89,30.0
291,51.93,30.0
292,51.98,30.0
293,52.03,30.0
294,52.08,30.0
295,52.14,30.0
296,52.18,30.0
297,52.23,30.0
298,52.29,30.0
299,52.33,30.0
300,52.38,30.0
301,52.42,30.0
302,52.47,30.0
303,52.51,30.0
304,52.57,30.0
305,52.61,30.0
306,52.65,30.0
307,52.69,30.0
308,52.74,30.0
309,52.79,30.0
310,52.82,30.0
311,52.88,30.0
312,52.93,30.0
313,52.97,30.0
314,53.01,30.0
315,53.05,30.0
316,53.1,30.0
317,53.16,30.0
318,53.2,30.0
319,53.23,30.0
320,53.27,30.0
321,53.31,30.0
322,53.35,30.0
323,53.39,30.0
324,53.44,30.0
325,53.48,30.0
326,53.51,30.0
327,53.56,30.0
328,53.59,30.0
329,53.63,30.0
330,53.67,30.0
331,53.71,30.0
332,53.75,30.0
333,53.79,30.0
334,53.84,30.0
335,53.89,30.0
336,53.93,30.0
337,53.95,30.0
338,53.99,30.0
339,54.04,30.0
340,54.06,30.0
341,54.1,30.0
342,54.14,30.0
343,54.18,30.0
344,54.22,30.0
345,54.26,30.0
346,54.29,30.0
347,54.32,30.0
348,54.38,30.0
349,54.41,30.0
350,54.45,30.0
351,54.48,30.0
352,54.53,30.0
353,54.56,30.0
354,54.6,30.0
355,54.63,30.0
356,54.67,30.0
357,54.7,30.0
358,54.73,30.0
359,54.76,30.0
360,54.8,30.0
361,54.85,30.0
362,54.88,30.0
363,54.91,30.0
364,54.95,30.0
365,54.99,30.0
366,55.02,30.0
367,55.08,30.0
368,55.1,30.0
369,55.13,30.0
370,55.16,30.0
371,55.21,30.0
372,55.23,30.0
373,55.25,30.0
374,55.3,30.0
375,55.32,30.0
376,55.36,30.0
377,55.39,30.0
378,55.43,30.0
379,55.45,30.0
380,55.5,30.0
381,55.53,30.0
382,55.58,30.0
383,55.6,30.0
384,55.63,30.0
385,55.66,30.0
386,55.69,30.0
387,55.73,30.0
388,55.77,30.0
389,55.79,30.0
390,55.84,30.0
